autoimmunity;SjS;RA;SLE;machine learning
Total_number_of_articles;5384
>27899373;First_Filter=PASSED;Last_filter=FAILED
>27660198;First_Filter=PASSED;Last_filter=FAILED
>27639836;First_Filter=PASSED;Last_filter=PASSED
>25359191;First_Filter=PASSED;Last_filter=FAILED
>29147400;First_Filter=PASSED;Last_filter=FAILED
>24774584;First_Filter=PASSED;Last_filter=FAILED
>23583982;First_Filter=PASSED;Last_filter=FAILED
>23516437;First_Filter=PASSED;Last_filter=FAILED
>23204033;First_Filter=PASSED;Last_filter=FAILED
>22827855;First_Filter=PASSED;Last_filter=PASSED
>22722860;First_Filter=PASSED;Last_filter=FAILED
>22703193;First_Filter=PASSED;Last_filter=FAILED
>22585710;First_Filter=PASSED;Last_filter=FAILED
>22345778;First_Filter=PASSED;Last_filter=FAILED
>21666236;First_Filter=PASSED;Last_filter=PASSED
>21660135;First_Filter=PASSED;Last_filter=PASSED
>21469088;First_Filter=PASSED;Last_filter=PASSED
>20488664;First_Filter=PASSED;Last_filter=FAILED
>20408337;First_Filter=PASSED;Last_filter=FAILED
>19796558;First_Filter=PASSED;Last_filter=FAILED
>19922022;First_Filter=PASSED;Last_filter=FAILED
>19714703;First_Filter=PASSED;Last_filter=FAILED
>19657778;First_Filter=PASSED;Last_filter=FAILED
>19379516;First_Filter=PASSED;Last_filter=FAILED
>19103199;First_Filter=PASSED;Last_filter=PASSED
>19032782;First_Filter=PASSED;Last_filter=FAILED
>18799082;First_Filter=PASSED;Last_filter=FAILED
>12100036;First_Filter=FAILED;Last_filter=FAILED
>8679304;First_Filter=FAILED;Last_filter=PASSED
>7749039;First_Filter=FAILED;Last_filter=FAILED
>1468597;First_Filter=FAILED;Last_filter=FAILED
>1531348;First_Filter=FAILED;Last_filter=FAILED
>7222123;First_Filter=FAILED;Last_filter=FAILED
>6968108;First_Filter=FAILED;Last_filter=FAILED
>29359591;First_Filter=PASSED;Last_filter=PASSED
>29358919;First_Filter=PASSED;Last_filter=PASSED
>29327326;First_Filter=PASSED;Last_filter=FAILED
>29326703;First_Filter=PASSED;Last_filter=PASSED
>29312834;First_Filter=PASSED;Last_filter=FAILED
>29302207;First_Filter=PASSED;Last_filter=FAILED
>29293383;First_Filter=PASSED;Last_filter=FAILED
>29288368;First_Filter=PASSED;Last_filter=FAILED
>29287593;First_Filter=PASSED;Last_filter=FAILED
>29278672;First_Filter=PASSED;Last_filter=FAILED
>29273071;First_Filter=PASSED;Last_filter=FAILED
>29267905;First_Filter=PASSED;Last_filter=FAILED
>29267515;First_Filter=PASSED;Last_filter=FAILED
>29266801;First_Filter=PASSED;Last_filter=FAILED
>29245178;First_Filter=PASSED;Last_filter=FAILED
>29245125;First_Filter=PASSED;Last_filter=FAILED
>29237149;First_Filter=PASSED;Last_filter=FAILED
>29230505;First_Filter=PASSED;Last_filter=FAILED
>29226727;First_Filter=PASSED;Last_filter=FAILED
>29221598;First_Filter=PASSED;Last_filter=FAILED
>29221596;First_Filter=PASSED;Last_filter=FAILED
>29221595;First_Filter=PASSED;Last_filter=FAILED
>29212384;First_Filter=PASSED;Last_filter=FAILED
>29181736;First_Filter=PASSED;Last_filter=FAILED
>29155234;First_Filter=PASSED;Last_filter=FAILED
>29148561;First_Filter=PASSED;Last_filter=FAILED
>29136635;First_Filter=PASSED;Last_filter=FAILED
>29128424;First_Filter=PASSED;Last_filter=FAILED
>29121412;First_Filter=PASSED;Last_filter=FAILED
>29118439;First_Filter=PASSED;Last_filter=FAILED
>29105307;First_Filter=PASSED;Last_filter=FAILED
>29100671;First_Filter=PASSED;Last_filter=FAILED
>29099860;First_Filter=PASSED;Last_filter=FAILED
>29075103;First_Filter=PASSED;Last_filter=FAILED
>29070531;First_Filter=PASSED;Last_filter=FAILED
>29070529;First_Filter=PASSED;Last_filter=FAILED
>29069471;First_Filter=PASSED;Last_filter=FAILED
>29039504;First_Filter=PASSED;Last_filter=FAILED
>29037903;First_Filter=PASSED;Last_filter=FAILED
>29033912;First_Filter=PASSED;Last_filter=FAILED
>29028829;First_Filter=PASSED;Last_filter=FAILED
>29017854;First_Filter=PASSED;Last_filter=FAILED
>28993780;First_Filter=PASSED;Last_filter=FAILED
>28990250;First_Filter=PASSED;Last_filter=FAILED
>28963072;First_Filter=PASSED;Last_filter=FAILED
>28957552;First_Filter=PASSED;Last_filter=FAILED
>28925718;First_Filter=PASSED;Last_filter=FAILED
>28899799;First_Filter=PASSED;Last_filter=FAILED
>28898115;First_Filter=PASSED;Last_filter=FAILED
>28874816;First_Filter=PASSED;Last_filter=FAILED
>28872680;First_Filter=PASSED;Last_filter=FAILED
>28859327;First_Filter=PASSED;Last_filter=FAILED
>28850672;First_Filter=PASSED;Last_filter=PASSED
>28801345;First_Filter=PASSED;Last_filter=FAILED
>28742141;First_Filter=PASSED;Last_filter=PASSED
>28736556;First_Filter=PASSED;Last_filter=PASSED
>28711139;First_Filter=PASSED;Last_filter=FAILED
>28687489;First_Filter=PASSED;Last_filter=PASSED
>28686532;First_Filter=PASSED;Last_filter=FAILED
>28682648;First_Filter=PASSED;Last_filter=PASSED
>28673589;First_Filter=PASSED;Last_filter=FAILED
>28650341;First_Filter=PASSED;Last_filter=FAILED
>28649674;First_Filter=PASSED;Last_filter=FAILED
>28647488;First_Filter=PASSED;Last_filter=FAILED
>28635960;First_Filter=PASSED;Last_filter=FAILED
>28624334;First_Filter=PASSED;Last_filter=FAILED
>28619676;First_Filter=PASSED;Last_filter=FAILED
>28584055;First_Filter=PASSED;Last_filter=FAILED
>28583308;First_Filter=PASSED;Last_filter=FAILED
>28567535;First_Filter=PASSED;Last_filter=FAILED
>28526580;First_Filter=PASSED;Last_filter=PASSED
>28511921;First_Filter=PASSED;Last_filter=FAILED
>28506920;First_Filter=PASSED;Last_filter=FAILED
>28500564;First_Filter=PASSED;Last_filter=FAILED
>28497350;First_Filter=PASSED;Last_filter=FAILED
>28491277;First_Filter=PASSED;Last_filter=FAILED
>28479483;First_Filter=PASSED;Last_filter=FAILED
>28463872;First_Filter=PASSED;Last_filter=FAILED
>28457528;First_Filter=PASSED;Last_filter=FAILED
>28438552;First_Filter=PASSED;Last_filter=PASSED
>28424695;First_Filter=PASSED;Last_filter=FAILED
>28421864;First_Filter=PASSED;Last_filter=FAILED
>28389388;First_Filter=PASSED;Last_filter=PASSED
>28388816;First_Filter=PASSED;Last_filter=FAILED
>28376065;First_Filter=PASSED;Last_filter=FAILED
>28373873;First_Filter=PASSED;Last_filter=FAILED
>28362874;First_Filter=PASSED;Last_filter=FAILED
>28343748;First_Filter=PASSED;Last_filter=FAILED
>28337522;First_Filter=PASSED;Last_filter=FAILED
>28321492;First_Filter=PASSED;Last_filter=FAILED
>28314855;First_Filter=PASSED;Last_filter=FAILED
>28299914;First_Filter=PASSED;Last_filter=FAILED
>28283529;First_Filter=PASSED;Last_filter=FAILED
>28283528;First_Filter=PASSED;Last_filter=FAILED
>28283514;First_Filter=PASSED;Last_filter=FAILED
>28263098;First_Filter=PASSED;Last_filter=FAILED
>28263097;First_Filter=PASSED;Last_filter=PASSED
>28250051;First_Filter=PASSED;Last_filter=PASSED
>28244020;First_Filter=PASSED;Last_filter=FAILED
>28215033;First_Filter=PASSED;Last_filter=FAILED
>28210261;First_Filter=PASSED;Last_filter=FAILED
>28182854;First_Filter=PASSED;Last_filter=FAILED
>28141917;First_Filter=PASSED;Last_filter=FAILED
>28121216;First_Filter=PASSED;Last_filter=FAILED
>28118534;First_Filter=PASSED;Last_filter=FAILED
>28110385;First_Filter=PASSED;Last_filter=FAILED
>28082047;First_Filter=PASSED;Last_filter=FAILED
>28081217;First_Filter=PASSED;Last_filter=FAILED
>28051887;First_Filter=PASSED;Last_filter=FAILED
>28010120;First_Filter=PASSED;Last_filter=FAILED
>27988432;First_Filter=PASSED;Last_filter=FAILED
>27981813;First_Filter=PASSED;Last_filter=FAILED
>27978789;First_Filter=PASSED;Last_filter=FAILED
>27974851;First_Filter=PASSED;Last_filter=FAILED
>27974664;First_Filter=PASSED;Last_filter=FAILED
>27919189;First_Filter=PASSED;Last_filter=FAILED
>27915033;First_Filter=PASSED;Last_filter=FAILED
>27914594;First_Filter=PASSED;Last_filter=FAILED
>27909437;First_Filter=PASSED;Last_filter=FAILED
>27908288;First_Filter=PASSED;Last_filter=FAILED
>27895642;First_Filter=PASSED;Last_filter=FAILED
