big data;artificial intelligence;autoimmunity;Sjogren;SjS;RA;SLE;lupus;machine learning;modelisation;random forest;classification
Total_number_of_articles;62647
>29356078;First_Filter=PASSED;Last_filter=FAILED
>29352006;First_Filter=PASSED;Last_filter=FAILED
>29350398;First_Filter=PASSED;Last_filter=FAILED
>29341027;First_Filter=PASSED;Last_filter=FAILED
>29340580;First_Filter=PASSED;Last_filter=FAILED
>29337803;First_Filter=PASSED;Last_filter=FAILED
>29315213;First_Filter=PASSED;Last_filter=FAILED
>29293405;First_Filter=PASSED;Last_filter=FAILED
>29287301;First_Filter=FAILED;Last_filter=FAILED
>29272440;First_Filter=PASSED;Last_filter=FAILED
>29269039;First_Filter=PASSED;Last_filter=FAILED
>29262989;First_Filter=PASSED;Last_filter=FAILED
>29261781;First_Filter=PASSED;Last_filter=FAILED
>29237237;First_Filter=PASSED;Last_filter=FAILED
>29231378;First_Filter=FAILED;Last_filter=FAILED
>29224260;First_Filter=FAILED;Last_filter=FAILED
>29215763;First_Filter=PASSED;Last_filter=FAILED
>29182778;First_Filter=PASSED;Last_filter=FAILED
>29181247;First_Filter=PASSED;Last_filter=FAILED
>29178285;First_Filter=PASSED;Last_filter=FAILED
>29161580;First_Filter=PASSED;Last_filter=FAILED
>29147562;First_Filter=PASSED;Last_filter=FAILED
>29126825;First_Filter=PASSED;Last_filter=FAILED
>29126253;First_Filter=PASSED;Last_filter=FAILED
>29109070;First_Filter=PASSED;Last_filter=FAILED
>29093467;First_Filter=PASSED;Last_filter=FAILED
>29085292;First_Filter=PASSED;Last_filter=FAILED
>29080713;First_Filter=PASSED;Last_filter=FAILED
>29040374;First_Filter=PASSED;Last_filter=FAILED
>29032056;First_Filter=PASSED;Last_filter=FAILED
>28984189;First_Filter=PASSED;Last_filter=FAILED
>28983821;First_Filter=PASSED;Last_filter=FAILED
>28951204;First_Filter=PASSED;Last_filter=FAILED
>28949964;First_Filter=PASSED;Last_filter=FAILED
>28933943;First_Filter=PASSED;Last_filter=FAILED
>28931066;First_Filter=PASSED;Last_filter=FAILED
>28903886;First_Filter=PASSED;Last_filter=FAILED
>28881183;First_Filter=PASSED;Last_filter=FAILED
>28855155;First_Filter=PASSED;Last_filter=FAILED
>28840365;First_Filter=PASSED;Last_filter=FAILED
>28837447;First_Filter=PASSED;Last_filter=FAILED
>28778845;First_Filter=PASSED;Last_filter=FAILED
>28775006;First_Filter=PASSED;Last_filter=FAILED
>28761754;First_Filter=PASSED;Last_filter=FAILED
>28714201;First_Filter=PASSED;Last_filter=FAILED
>28686739;First_Filter=PASSED;Last_filter=FAILED
>28682269;First_Filter=PASSED;Last_filter=FAILED
>28679892;First_Filter=PASSED;Last_filter=FAILED
>28670152;First_Filter=PASSED;Last_filter=FAILED
>28651747;First_Filter=PASSED;Last_filter=FAILED
>28634997;First_Filter=PASSED;Last_filter=FAILED
>28595592;First_Filter=PASSED;Last_filter=FAILED
>28570703;First_Filter=PASSED;Last_filter=FAILED
>28555438;First_Filter=PASSED;Last_filter=FAILED
>28552131;First_Filter=PASSED;Last_filter=FAILED
>28545640;First_Filter=PASSED;Last_filter=FAILED
>28521784;First_Filter=PASSED;Last_filter=FAILED
>28482795;First_Filter=PASSED;Last_filter=FAILED
>28442501;First_Filter=PASSED;Last_filter=FAILED
>28422856;First_Filter=PASSED;Last_filter=FAILED
>28413974;First_Filter=PASSED;Last_filter=FAILED
>28413358;First_Filter=PASSED;Last_filter=FAILED
>28373602;First_Filter=PASSED;Last_filter=FAILED
>28363289;First_Filter=PASSED;Last_filter=FAILED
>28357901;First_Filter=FAILED;Last_filter=FAILED
>28346544;First_Filter=PASSED;Last_filter=FAILED
>28344190;First_Filter=PASSED;Last_filter=FAILED
>28316616;First_Filter=PASSED;Last_filter=FAILED
>28301733;First_Filter=PASSED;Last_filter=FAILED
>28288685;First_Filter=PASSED;Last_filter=FAILED
>28280932;First_Filter=PASSED;Last_filter=FAILED
>28279627;First_Filter=PASSED;Last_filter=FAILED
>28269904;First_Filter=PASSED;Last_filter=FAILED
>28269875;First_Filter=PASSED;Last_filter=FAILED
>28263941;First_Filter=PASSED;Last_filter=FAILED
>28263937;First_Filter=PASSED;Last_filter=FAILED
>28198642;First_Filter=PASSED;Last_filter=FAILED
>28187294;First_Filter=PASSED;Last_filter=FAILED
>28186006;First_Filter=PASSED;Last_filter=FAILED
>28131438;First_Filter=FAILED;Last_filter=FAILED
>28129669;First_Filter=PASSED;Last_filter=FAILED
>28122121;First_Filter=PASSED;Last_filter=FAILED
>28110106;First_Filter=PASSED;Last_filter=FAILED
>28106594;First_Filter=PASSED;Last_filter=FAILED
>28104273;First_Filter=PASSED;Last_filter=FAILED
>28079723;First_Filter=PASSED;Last_filter=FAILED
>28070484;First_Filter=PASSED;Last_filter=FAILED
>28039163;First_Filter=PASSED;Last_filter=FAILED
>28029644;First_Filter=PASSED;Last_filter=FAILED
>27986855;First_Filter=PASSED;Last_filter=FAILED
>27986644;First_Filter=PASSED;Last_filter=FAILED
>27974883;First_Filter=PASSED;Last_filter=FAILED
>27927892;First_Filter=PASSED;Last_filter=FAILED
>27918836;First_Filter=PASSED;Last_filter=FAILED
>27887770;First_Filter=PASSED;Last_filter=FAILED
>27862002;First_Filter=PASSED;Last_filter=FAILED
>27860007;First_Filter=PASSED;Last_filter=FAILED
>27859320;First_Filter=PASSED;Last_filter=FAILED
>27847141;First_Filter=PASSED;Last_filter=FAILED
>27830258;First_Filter=PASSED;Last_filter=FAILED
>27830257;First_Filter=PASSED;Last_filter=FAILED
>27826765;First_Filter=PASSED;Last_filter=FAILED
>27810012;First_Filter=PASSED;Last_filter=FAILED
>27785822;First_Filter=PASSED;Last_filter=FAILED
>26438655;First_Filter=PASSED;Last_filter=FAILED
>27266594;First_Filter=PASSED;Last_filter=FAILED
>27548044;First_Filter=PASSED;Last_filter=FAILED
>27452181;First_Filter=PASSED;Last_filter=FAILED
>27241666;First_Filter=PASSED;Last_filter=FAILED
>27750400;First_Filter=PASSED;Last_filter=FAILED
>27730390;First_Filter=PASSED;Last_filter=FAILED
>27723507;First_Filter=PASSED;Last_filter=FAILED
>27695919;First_Filter=PASSED;Last_filter=FAILED
>27686428;First_Filter=PASSED;Last_filter=FAILED
>27682033;First_Filter=PASSED;Last_filter=FAILED
>27669338;First_Filter=PASSED;Last_filter=FAILED
>27667790;First_Filter=PASSED;Last_filter=FAILED
>27641707;First_Filter=PASSED;Last_filter=FAILED
>27592382;First_Filter=PASSED;Last_filter=FAILED
>27587087;First_Filter=PASSED;Last_filter=FAILED
>27586524;First_Filter=PASSED;Last_filter=FAILED
>27579031;First_Filter=PASSED;Last_filter=FAILED
>27568339;First_Filter=PASSED;Last_filter=FAILED
>27552706;First_Filter=PASSED;Last_filter=FAILED
>27529225;First_Filter=PASSED;Last_filter=FAILED
>27502271;First_Filter=PASSED;Last_filter=FAILED
>27494614;First_Filter=PASSED;Last_filter=FAILED
>27483216;First_Filter=PASSED;Last_filter=FAILED
>27481999;First_Filter=PASSED;Last_filter=FAILED
>27480748;First_Filter=PASSED;Last_filter=FAILED
>27473064;First_Filter=PASSED;Last_filter=FAILED
>27464907;First_Filter=PASSED;Last_filter=FAILED
>27461154;First_Filter=PASSED;Last_filter=FAILED
>27447430;First_Filter=PASSED;Last_filter=FAILED
>27441716;First_Filter=PASSED;Last_filter=FAILED
>27441712;First_Filter=PASSED;Last_filter=FAILED
>27441585;First_Filter=PASSED;Last_filter=FAILED
>27441584;First_Filter=PASSED;Last_filter=FAILED
>27441580;First_Filter=PASSED;Last_filter=FAILED
>27406289;First_Filter=PASSED;Last_filter=FAILED
>27379211;First_Filter=PASSED;Last_filter=FAILED
>27377323;First_Filter=PASSED;Last_filter=FAILED
>27367425;First_Filter=PASSED;Last_filter=FAILED
>27339328;First_Filter=PASSED;Last_filter=FAILED
>27314659;First_Filter=PASSED;Last_filter=FAILED
>27304987;First_Filter=PASSED;Last_filter=FAILED
>27302506;First_Filter=PASSED;Last_filter=FAILED
>27298619;First_Filter=PASSED;Last_filter=FAILED
>27266599;First_Filter=PASSED;Last_filter=FAILED
>27235800;First_Filter=PASSED;Last_filter=FAILED
>27224088;First_Filter=PASSED;Last_filter=FAILED
>27207370;First_Filter=PASSED;Last_filter=FAILED
>27195004;First_Filter=PASSED;Last_filter=FAILED
>27126063;First_Filter=PASSED;Last_filter=FAILED
>27122092;First_Filter=PASSED;Last_filter=FAILED
>27119951;First_Filter=PASSED;Last_filter=FAILED
>27115650;First_Filter=PASSED;Last_filter=FAILED
>27077525;First_Filter=PASSED;Last_filter=FAILED
>27069773;First_Filter=PASSED;Last_filter=FAILED
>27067700;First_Filter=PASSED;Last_filter=FAILED
>27032088;First_Filter=PASSED;Last_filter=FAILED
>27011785;First_Filter=PASSED;Last_filter=FAILED
>26992706;First_Filter=PASSED;Last_filter=FAILED
>26992568;First_Filter=PASSED;Last_filter=FAILED
>26979668;First_Filter=PASSED;Last_filter=FAILED
>26961965;First_Filter=PASSED;Last_filter=FAILED
>26960378;First_Filter=PASSED;Last_filter=FAILED
>26944035;First_Filter=PASSED;Last_filter=FAILED
>26907860;First_Filter=PASSED;Last_filter=FAILED
>26879667;First_Filter=PASSED;Last_filter=FAILED
>26873929;First_Filter=PASSED;Last_filter=FAILED
>26829605;First_Filter=PASSED;Last_filter=FAILED
>26819243;First_Filter=PASSED;Last_filter=FAILED
>26818456;First_Filter=PASSED;Last_filter=FAILED
>26816399;First_Filter=PASSED;Last_filter=FAILED
>26783204;First_Filter=PASSED;Last_filter=FAILED
>26779665;First_Filter=PASSED;Last_filter=FAILED
>26777788;First_Filter=PASSED;Last_filter=FAILED
>26773901;First_Filter=PASSED;Last_filter=FAILED
>26772057;First_Filter=PASSED;Last_filter=FAILED
>26729148;First_Filter=PASSED;Last_filter=FAILED
>26728004;First_Filter=PASSED;Last_filter=FAILED
>28428496;First_Filter=FAILED;Last_filter=FAILED
>26712016;First_Filter=PASSED;Last_filter=FAILED
>26708333;First_Filter=PASSED;Last_filter=FAILED
>26700535;First_Filter=PASSED;Last_filter=FAILED
>26690682;First_Filter=PASSED;Last_filter=FAILED
>26681933;First_Filter=PASSED;Last_filter=FAILED
>26679719;First_Filter=PASSED;Last_filter=FAILED
>26673930;First_Filter=PASSED;Last_filter=FAILED
>26672033;First_Filter=PASSED;Last_filter=FAILED
>26613831;First_Filter=FAILED;Last_filter=FAILED
>26605379;First_Filter=PASSED;Last_filter=FAILED
>26605337;First_Filter=PASSED;Last_filter=FAILED
>26600156;First_Filter=PASSED;Last_filter=FAILED
>26577265;First_Filter=PASSED;Last_filter=FAILED
>26574412;First_Filter=PASSED;Last_filter=FAILED
>26548400;First_Filter=PASSED;Last_filter=FAILED
>26539502;First_Filter=PASSED;Last_filter=FAILED
>26534722;First_Filter=PASSED;Last_filter=FAILED
>26529774;First_Filter=PASSED;Last_filter=FAILED
>26491464;First_Filter=PASSED;Last_filter=FAILED
>26476638;First_Filter=PASSED;Last_filter=FAILED
>26476414;First_Filter=PASSED;Last_filter=FAILED
>26433049;First_Filter=PASSED;Last_filter=FAILED
>26411868;First_Filter=PASSED;Last_filter=FAILED
>26403824;First_Filter=PASSED;Last_filter=FAILED
>26362267;First_Filter=PASSED;Last_filter=FAILED
>26342255;First_Filter=PASSED;Last_filter=FAILED
>26341005;First_Filter=PASSED;Last_filter=FAILED
>26297364;First_Filter=PASSED;Last_filter=FAILED
>26295449;First_Filter=PASSED;Last_filter=FAILED
>26286870;First_Filter=PASSED;Last_filter=FAILED
>26285450;First_Filter=FAILED;Last_filter=FAILED
>26264172;First_Filter=PASSED;Last_filter=FAILED
>26262419;First_Filter=PASSED;Last_filter=FAILED
>26262005;First_Filter=PASSED;Last_filter=FAILED
>26230334;First_Filter=PASSED;Last_filter=FAILED
>26208307;First_Filter=PASSED;Last_filter=FAILED
>26205246;First_Filter=PASSED;Last_filter=FAILED
>26181906;First_Filter=PASSED;Last_filter=FAILED
>26174866;First_Filter=PASSED;Last_filter=FAILED
>26173907;First_Filter=PASSED;Last_filter=FAILED
>26173699;First_Filter=PASSED;Last_filter=FAILED
>26152985;First_Filter=PASSED;Last_filter=FAILED
>26141245;First_Filter=FAILED;Last_filter=FAILED
>26133480;First_Filter=PASSED;Last_filter=FAILED
>26119754;First_Filter=PASSED;Last_filter=FAILED
>26079845;First_Filter=PASSED;Last_filter=FAILED
>26077872;First_Filter=FAILED;Last_filter=FAILED
>25991273;First_Filter=PASSED;Last_filter=FAILED
>25991244;First_Filter=PASSED;Last_filter=FAILED
>25991137;First_Filter=PASSED;Last_filter=FAILED
>25991122;First_Filter=PASSED;Last_filter=FAILED
>25984606;First_Filter=PASSED;Last_filter=FAILED
>25910958;First_Filter=PASSED;Last_filter=FAILED
>25910101;First_Filter=PASSED;Last_filter=FAILED
>25888834;First_Filter=PASSED;Last_filter=FAILED
>25886979;First_Filter=PASSED;Last_filter=FAILED
>25879039;First_Filter=PASSED;Last_filter=FAILED
>25868337;First_Filter=FAILED;Last_filter=FAILED
>25858285;First_Filter=PASSED;Last_filter=FAILED
>25849935;First_Filter=PASSED;Last_filter=FAILED
>25839250;First_Filter=PASSED;Last_filter=FAILED
>25832646;First_Filter=PASSED;Last_filter=FAILED
>25827027;First_Filter=PASSED;Last_filter=FAILED
>25823046;First_Filter=PASSED;Last_filter=FAILED
>25814682;First_Filter=PASSED;Last_filter=FAILED
>25807574;First_Filter=PASSED;Last_filter=FAILED
>25797506;First_Filter=PASSED;Last_filter=FAILED
>25787786;First_Filter=PASSED;Last_filter=FAILED
>25773546;First_Filter=PASSED;Last_filter=FAILED
